,Country,incidents,killed,injured,kidnapped,arrested,colorVal,CountryCode
0,Afghanistan,355,98,84,38,42,0,1
1,Armenia,4,1,0,1,0,1000,2
2,Burkina Faso,110,12,13,47,3,2000,3
3,CAR,199,17,26,9,33,3000,4
4,Cameroon,33,7,4,35,14,4000,5
5,Colombia,12,4,2,1,0,5000,6
6,DRC,706,45,110,97,39,6000,7
7,Egypt,8,0,0,0,0,7000,8
8,Ethiopia,69,11,7,6,5,8000,9
9,Haiti,9,1,0,10,1,9000,10
10,Honduras,2,0,1,0,0,10000,11
11,Iran,85,4,15,0,71,11000,12
12,Iraq,40,10,21,2,1,12000,13
13,Israel,1,0,0,0,0,13000,14
14,Kenya,3,0,0,4,0,14000,15
15,Libya,27,2,8,7,0,15000,16
16,Mali,60,5,5,33,4,16000,17
17,Mexico,14,3,2,5,0,17000,18
18,Morocco,1,0,3,0,0,18000,19
19,Mozambique,7,0,0,0,0,19000,20
20,Myanmar,686,57,59,9,671,20000,21
21,Niger,15,0,0,0,0,21000,22
22,Nigeria,115,26,10,82,3,22000,23
23,OPT,416,6,215,0,60,23000,24
24,Pakistan,34,12,12,6,0,24000,25
25,Philippines,7,5,0,1,1,25000,26
26,Somalia,15,7,1,10,1,26000,27
27,South Sudan,90,34,27,28,14,27000,28
28,Sudan,103,15,26,9,87,28000,29
29,Syria,441,75,90,9,31,29000,30
30,Thailand,1,1,0,0,0,30000,31
31,Turkey,5,1,0,0,16,31000,32
32,Ukraine,784,79,66,61,8,32000,33
33,Yemen,48,7,6,5,16,33000,34
